dataset_key,dataset_name,model_key,model_name,feature,mean_abs_shap,mean_rank,rank_std,top_k_frequency,folds_observed,consensus_rank
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,RemovedTeeth_1_to_5,0.0,100.6,0.5477225575051643,0.0,5,101
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,RemovedTeeth_6_or_more_but_not_all,0.0,101.6,0.5477225575051643,0.0,5,102
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,HadDiabetes_No_pre_diabetes_or_borderline_diabetes,0.0,103.0,0.0,0.0,5,103
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,HadDiabetes_Yes_but_only_during_pregnancy_female_,0.0,104.0,0.0,0.0,5,104
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,SmokerStatus_Current_smoker_now_smokes_every_day,0.0,105.0,0.0,0.0,5,105
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,SmokerStatus_Current_smoker_now_smokes_some_days,0.0,106.0,0.0,0.0,5,106
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,SmokerStatus_Former_smoker,0.0,107.0,0.0,0.0,5,107
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,ECigaretteUsage_Never_used_e_cigarettes_in_my_entire_life,0.0,108.0,0.0,0.0,5,108
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,ECigaretteUsage_Not_at_all_right_now_,0.0,109.0,0.0,0.0,5,109
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,ECigaretteUsage_Use_them_every_day,0.0,110.0,0.0,0.0,5,110
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,ECigaretteUsage_Use_them_some_days,0.0,111.0,0.0,0.0,5,111
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,RaceEthnicityCategory_Black_only_Non_Hispanic,0.0,112.0,0.0,0.0,5,112
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,RaceEthnicityCategory_Hispanic,0.0,113.0,0.0,0.0,5,113
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,RaceEthnicityCategory_Multiracial_Non_Hispanic,0.0,114.0,0.0,0.0,5,114
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,RaceEthnicityCategory_Other_race_only_Non_Hispanic,0.0,115.0,0.0,0.0,5,115
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,RaceEthnicityCategory_White_only_Non_Hispanic,0.0,116.0,0.0,0.0,5,116
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,AgeCategory_Age_35_to_39,0.0,117.0,0.0,0.0,5,117
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,AgeCategory_Age_40_to_44,0.0,118.0,0.0,0.0,5,118
