dataset_key,dataset_name,model_key,model_name,fold,feature,mean_abs_shap
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,ST_Slope_Flat,0.500019816444088
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,ST_Slope_Up,1.3076385855226007
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,Age,0.3333940020865804
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,RestingBP,0.36715372595842183
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,Cholesterol,0.42602506294575254
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,FastingBS,0.43247483154679633
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,MaxHR,0.5058512562186573
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,Oldpeak,0.4347029009106489
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,Sex,0.42702077573767916
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,ExerciseAngina,0.5050420129372365
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,ChestPainType_ASY,0.9233559929087664
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,ChestPainType_ATA,0.02449399853752616
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,ChestPainType_NAP,0.17854788830629825
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,ChestPainType_TA,0.0030220176140492837
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,RestingECG_LVH,0.0661838797481341
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,RestingECG_Normal,0.08288233777837206
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,RestingECG_ST,0.023595306362332417
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,ST_Slope_Down,0.002623650288089107
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,ST_Slope_Flat,0.5515811213485732
dataset2,Heart Failure Prediction,lightgbm,LightGBM,5,ST_Slope_Up,1.2262423883552067
